Application #,Patent #
"10/546,711",7366138
"09/158,291",6278879
"11/304,093",7558560
"10/163,030",6926989
"12/107,134","8,819,422"
"09/164,987",6165639
"10/828,874",7359353
"10/173,896",6914938
"11/687,248",8396453
"09/107,890",6034971
"11/026,446","7,167,459"
"08/701,373",5742590
"12/643,263",8515063
"11/669,865","7,818,166"
"10/541,951",7697498
"11/908,548",7680488
"13/439,121","9,070,356"
"13/525,717","8,391,874"
"08/904,204","6,038,263"
"10/158,439",7085542
"11/094,646",7395204
"11/609,980","8,553,808"
"10/759,654",7466675
"10/786,694",7242972
"09/358,884",6160449
"11/444,090",7360446
"10/201,845",6696866
"12/256,087",7558586
"10/729,041",7202905
"09/794,487",6625613
"09/788,753","6,452,541"
"10/155,790",6492792
"09/558,121","7,085,246"
"12/651,303",8149144
"09/050,447",6298094
"09/856,546",6778831
"09/353,583",7640571
"10/373,046",6900700
"09/687,207",6609141
"12/127,273",8224303
"12/859,620","8,711,789"
"11/235,283","7,265,726"
"09/946,109",7242784
"10/211,609",7054656
"10/608,991",7197463
"09/143,887",6104808
"11/752,781",7873285
"09/054,010",6228516
"08/976,058",6256504
"11/289,836","7,747,017"
"10/704,348",7031357
"09/665,610",6725022
"09/270,720",6397046
"12/392,188",8189522
"13/351,682","8,929,450"
"10/948,351","7,333,797"
"10/082,006",7047050
"11/741,877","8,902,152"
"13/313,336","8,731,081"
"09/775,950",6854077
"09/282,726",6100664
"09/196,709",6434195
"11/245,847",7301923
"11/613,823","7,876,697"
"10/684,918",8565684
"10/688,714","6,944,245"
"08/980,563",5940076
"10/596,793","8,953,595"
"11/294,792","8,886,261"
"09/366,422","6,212,393"
"11/214,580","7,636,746"
"11/461,056",7622859
"10/322,364",7356348
"12/909,043","8,433,249"
"11/118,670","7,181,397"
"11/680,130","8,948,394"
"11/316,235",7813653
"09/531,292",6707826
"10/330,630",7292879
"10/057,367",6677607
"09/812,873",6950422
"11/913,940","8,160,067"
"11/466,712",7394012
"12/544,463","8,761,834"
"09/686,575",6393076
"10/372,980",7230997
"09/069,670",6101225
"11/211,279","7,680,487"
"10/648,682",7336619
"09/437,672",6553021
"08/619,391",5710990
"09/483,331",6281748
"11/018,264",8103118
"09/257,274",6256393
"11/769,152","7,894,332"
"10/131,660",7385913
"12/639,176","9,081,868"
"08/807,933",6148178
"11/004,738",7302098
"10/085,981",7436816
"10/397,457",7016669
"08/944,585",6084468
"10/213,652",7023921
"10/337,599",7062277
"11/026,751","7,164,930"
"11/095,451","7,394,767"
"09/243,745",6425091
"13/682,946","8,484,676"
"11/581,644","8,213,394"
"10/346,409","8,008,561"
"13/671,696","8,799,957"
"09/330,924",6389285
"12/129,745",8539544
"09/887,831",7165112
"11/413,330",7907896
"08/878,869",5869204
"11/171,074","7,330,920"
"10/290,572","7,047,188"
"08/676,848",5732358
"08/592,755",5745524
"11/962,132",7782755
"10/741,653",7254423
"10/770,906","7,321,570"
"10/020,529",6978153
"11/734,494",7973721
"10/403,946",7539186
"11/737,569",8019326
"12/969,792","9,131,060"
"11/300,117",7590414
"09/064,897",6240303
"11/946,208","8,244,265"
"11/943,224",8379115
"10/740,291",7787357
"09/944,871",6675022
"08/327,347",6148245
"10/678,416",7277457
"13/206,892","9,160,978"
"08/641,596",5767785
"09/201,002",6643276
"11/874,605",7873338
"09/813,708","6,463,110"
"10/052,081",7200112
"10/900,600",7098666
"10/878,414",7161227
"08/783,837",5859625
"13/727,692","9,042,938"
"12/342,408",8605704
"12/493,440","8,442,004"
"09/521,770",7073192
"09/434,750",6381477
"11/427,414","7,577,449"
"11/747,976",8160618
"10/236,428",7043198
"10/027,158",6836547
"09/697,951",6714794
"08/920,558",5926503
"12/360,345",8396024
"13/910,063","8,605,922"
"09/875,627","7,106,711"
"09/032,005",6208871
"09/941,265",7725133
"11/159,617",7839814
"10/403,305","7,787,855"
"09/659,973",6971101
"11/446,668",7953668
"09/584,615",6331817
"11/616,621",7834762
"10/033,999",6959170
"09/113,023",5963012
"13/722,077","8,942,302"
"08/572,842",5697793
"12/747,952","8,874,093"
"11/427,262",8023959
"08/577,922",5754659
"09/998,103",7096047
"10/387,746",7209172
"09/574,773",6591095
"08/639,370",5828660
"11/985,894",7770261
"08/432,749",6006017
"08/676,611",5838214
"12/182,355","8,259,846"
"08/768,761",6169802
"09/261,510","6,141,393"
"08/740,857",5905447
"10/282,566",6747585
"09/409,213",6208842
"11/457,949","8,532,623"
"10/219,582",7264896
"11/424,392",7519855
"12/844,206","8,428,936"
"08/852,467",5959693
"10/101,903",6983026
"10/084,965","7,142,190"
"10/208,148",6968508
"11/538,347","7,925,956"
"08/996,176","6,311,167"
"09/088,012",6020878
"10/202,594",6646418
"08/913,899",6307892
"08/707,167",5752163
"11/434,312","7,689,228"
"08/566,239",5666084
"10/083,014","6,850,285"
"09/271,831",6049192
"11/466,345","8,509,323"
"10/886,962",7397803
"11/926,993",7924158
"09/679,905",6697615
"10/727,789","7,227,848"
"08/885,749",5874856
"13/625,347","8,941,743"
"09/187,007",6232970
"09/298,774",6553041
"09/734,220",7206854
"10/034,542","6,898,567"
"13/718,150","8,982,137"
"12/211,493",8150169
"09/638,604",7031373
"29/423,356",D688221
"08/627,642","5,870,030"
"08/719,055",6009168
"11/421,257",8004555
"10/004,555",6493629
"11/466,926",7475330
"11/468,132",7706414
"11/027,177","7,499,540"
"10/330,155",6933893
"10/960,950",7634688
"10/076,255",7113514
"13/225,950",8528012
"09/411,107",6426980
"10/460,136",7184756
"11/296,613",7668848
"11/848,376","7,809,129"
"11/449,091",7295823
"10/011,603",6876635
"09/337,086",6572830
"09/033,096",6249894
"11/466,231",7570916
"10/247,229",6717520
"10/675,786","7,239,898"
"10/299,743",6885645
"10/650,286",7053799
"09/933,618",6686931
"12/346,019",8340974
"08/264,817","6,160,489"
"08/891,758",5966667
"08/648,847",5854972
"09/440,961",6304765
"09/867,151",7024628
"10/203,714","7,283,845"
"12/478,036",8223707
"10/955,468",7366525
"09/031,269",6259791
"08/577,442",5787128
"10/717,255",7920869
"09/655,618",6529520
"09/644,638",6493673
"10/259,651","6,741,842"
"13/031,401","8,666,321"
"08/769,591",5982411
"08/742,299",6141454
"12/649,823",8068292
"09/373,912",6298233
"13/172,902","8,929,838"
"08/922,077",5972537
"12/641,028",8564619
"10/812,477",7058039
"12/342,442","8,190,213"
"11/930,974",7853296
"10/603,558",7466665
"10/806,019","6,927,332"
"09/510,795",6574487
"10/484,941","7,110,770"
"09/182,517",6268826
"09/219,325",6310992
"09/034,644",6012063
"13/093,345",8520572
"09/912,995",7050411
"10/429,419",7221945
"12/058,182",8054391
"08/903,891",5892396
"09/439,452",6584325
"10/261,288","7,116,784"
"09/298,422",6400755
"09/539,137","6,346,911"
"09/757,935",6862273
"10/227,725",7337110
"09/127,802","6,086,395"
"12/328,790","8,798,150"
"14/584,909","9,154,811"
"10/096,461",7130359
"12/099,842","8,639,519"
"11/027,244",7262812
"08/663,967",5797103
"10/067,610","7,818,792"
"11/459,460","7,991,147"
"12/609,738",8502694
"08/817,896","6,009,130"
"12/503,126",8261183
"11/696,481",7876199
"09/651,382",8050686
"08/846,751",5929806
"13/307,334","9,103,732"
"09/425,265",6377792
"09/123,292",6594249
"08/801,895",5768319
"08/885,234",6134232
"10/219,231","6,985,733"
"09/565,960",6643327
"09/928,076",6941500
"12/774,106","8,194,615"
"10/616,598",7101617
"11/319,867","7,539,490"
"12/142,697",8318381
"10/331,696",7933343
"08/673,528",5801639
"09/442,870",6574333
"12/610,087",8477041
"11/586,369",8577594
"09/007,295","6,588,015"
"11/275,938","7,426,198"
"12/621,938",8204491
"09/094,534",6040720
"11/671,013",7590092
"11/831,170",7801066
"09/909,202",7158678
"08/934,404",5949827
"09/166,739",6052443
"09/654,073",6452811
"08/767,547",5996110
"11/191,571",7221222
"11/131,714",7362820
"09/544,461",6718374
"10/885,169",7098786
"13/182,958","8,743,157"
"12/415,137",8295200
"08/931,149",6078611
"10/439,200","6,867,734"
"10/153,445","7,356,687"
"08/691,085",5793213
"11/848,206",8238900
"11/419,177","8,427,961"
"10/347,403",6744766
"14/174,534","9,191,488"
"10/331,432",7102617
"10/365,378",6989235
"13/569,606","9,197,387"
"11/141,922","7,668,141"
"11/842,275","8,817,740"
"11/945,373","7,983,204"
"11/455,574","9,054,879"
"10/212,922",6850503
"13/177,522","8,931,059"
"08/978,559",5999522
"09/447,315",6496794
"09/539,387",6567912
"10/747,976",7492885
"11/863,965",8094105
"12/530,785",8280382
"10/300,987",6775341
"13/718,199","9,137,320"
"12/577,105","8,811,510"
"09/705,845","6,453,155"
"09/003,608",6125279
"09/986,241",7260770
"09/219,334",6097953
"09/645,659",6822946
"12/677,118",8335510
"09/541,576",6374091
"08/559,407",5727026
"08/681,687",6128007
"10/813,478",7123923
"10/964,861","7,792,670"
"11/024,311",7181257
"13/198,304","8,907,930"
"09/785,893",6622136
"08/774,048",5744258
"09/420,127",6574610
"09/503,791",6580769
"09/993,803",6504494
"09/654,538",6728525
"12/679,400",8290486
"10/065,016",6734555
"10/316,692",6978124
"12/188,785",8412270
"11/554,788",7646704
"09/820,881",6608510
"10/854,417",7561552
"12/821,164","8,504,002"
"08/926,248",5822699
"10/609,998",7057607
"13/646,769","9,007,391"
"09/382,170",6487259
"11/861,048",7725804
"11/003,239",7268799
"10/206,286","6,732,218"
"10/463,893",6850040
"09/110,930",6195393
"11/199,298",7343181
"12/345,439","8,600,577"
"10/328,533",6819256
"08/627,307",5774827
"10/665,024",7027840
"10/115,308",7327704
"09/266,280",6707912
"08/661,968",5822431
"10/134,158",6995751
"12/265,971",8254907
"13/457,283","8,847,903"
"14/570,511",9197923
"09/655,141",6326770
"11/421,245",7852904
"13/077,259","8,753,128"
"12/526,545",8913585
"12/484,329","8,194,572"
"10/236,119",6747685
"09/649,528",7048897
"11/289,104",7626355
"10/608,323",7110536
"09/606,445",7158819
"11/457,183",7609664
"08/569,813",5710547
"08/950,637",6352434
"12/237,023","8,990,221"
"11/592,982","7,504,903"
"10/002,306",7228414
"11/419,797","8,559,295"
"09/755,833",6823026
"13/041,486",8494224
"09/945,975",6961956
"11/977,687","8,300,107"
"08/806,972","5,929,773"
"08/647,548",5688293
"09/156,711","6,313,732"
"11/257,548","7,689,208"
"09/432,942","6,487,180"
"11/240,180",7649842
"12/207,557","8,718,668"
"08/676,790","5,723,229"
"10/853,393","7,206,578"
"09/736,947",6944186
"13/351,782","9,066,104"
"11/610,738","7,710,987"
"12/624,187","8,160,540"
"10/245,180",7181007
"09/231,665",6208637
"09/525,412",6978474
"09/243,678",6512923
"10/788,490","8,108,830"
"10/213,176","6,917,814"
"08/739,475",5670266
"12/647,570",8068868
"11/679,218",8385989
"14/068,329","8,860,614"
"12/067,961",8205129
"09/709,690",6424673
"10/295,712","7,298,762"
"08/960,110",5754141
"08/636,417",5768527
"10/658,046",7177819
"10/725,092",7548558
"11/118,528",7383983
"11/538,771","7,778,307"
"13/246,909","8,984,549"
"08/627,260",5901354
"12/942,052","8,723,699"
"12/344,997","8,504,836"
"10/694,571",7170988
"09/737,708","6,515,971"
"10/113,699","6,859,503"
"09/898,642",6970127
"11/082,655",7548747
"10/180,414","6,889,045"
"12/254,938",8477942
"08/995,796","6,041,314"
"09/995,338","6,983,370"
"10/610,419",7098897
"09/667,341",6529144
"11/865,717","7,684,407"
"11/609,354",7709732
"09/649,553",6569553
"10/024,824",6937274
"12/761,822",9237366
"10/268,825",7139806
"09/324,269","6,091,959"
"13/710,588","9,048,042"
"08/100,517",5842122
"09/741,134",6765966
"08/774,341",6044090
"09/881,337",7158502
"09/105,340",6373828
"10/027,045",7120170
"13/267,672",8627083
"13/087,768","9,118,499"
"13/301,953","8,406,328"
"08/578,792",5710766
"10/326,353",6873614
"11/946,585",7834759
"10/161,438",7313103
"11/370,135",7817987
"11/479,793",7983451
"08/963,499",6217623
"10/941,469",7081019
"08/614,748",6058315
"11/567,463",7958539
"09/790,005",6826241
"10/022,295",6754169
"11/967,356","8,370,160"
"11/424,622","7,570,927"
"10/680,524",6926451
"12/297,077",8078180
"11/008,921",7218943
"08/752,512",5818852
"13/485,336","8,750,249"
"11/017,481",7242956
"08/568,928",5826188
"11/130,704",7030795
"09/153,799",6064266
"08/808,332",5896575
"08/642,548",5715240
"10/321,267",7796944
"10/651,893",7062243
"10/258,723",7242932
"10/358,864","7,940,724"
"12/055,767","8,681,737"
"08/847,089",5851692
"09/743,593",7031397
"13/827,548","8,990,851"
"11/458,369",8116242
"08/941,793",5958572
"11/421,312",7480504
"11/616,497",7706645
"11/026,817",7466859
"08/909,500",5920647
"10/121,362","7,049,015"
"09/644,033",6369753
"11/836,614",8145214
"09/198,867",6570922
"14/333,009","9,215,496"
"14/088,613","9,173,146"
"12/646,601","8,269,175"
"08/804,780",5786791
"12/974,252","8,766,954"
"11/236,990",7450975
"09/590,604",6754504
"11/459,240",7536006
"11/851,546",7742760
"12/872,568","8,818,461"
"11/017,619",7440768
"14/668,867","9,210,383"
"09/766,196",6775541
"08/827,942",5970058
"10/718,205",7010299
"09/966,486",6622025
"09/621,111",6789124
"10/530,540",7706301
"11/851,673","8,619,067"
"08/321,382",6157669
"09/916,564",6937585
"08/937,430","5,847,920"
"09/819,020",6990081
"10/244,978",7003333
"09/507,851",6690723
"09/519,428",6351628
"12/573,456","8,374,633"
"09/578,186",6711380
"10/850,122",7469182
"11/221,265",7281066
"13/959,767","9,054,525"
"08/977,914",6084890
"10/874,063","7,274,954"
"10/036,910",8265163
"08/646,805",6511280
"29/426,824",D705747
"08/690,602",5872744
"12/746,812",8578043
"08/587,619",5901347
"10/692,620",7117288
"10/631,430",7310379
"10/431,736","7,496,069"
"12/639,575",7831267
"11/068,055",8312142
"08/940,537",6222880
"12/181,923","7,784,366"
"09/012,927",6246697
"09/759,842",7095707
"12/536,125",8401479
"10/292,786","7,088,988"
"09/892,222",6944473
"11/537,683",7820313
"12/602,855","8,477,924"
"11/537,118",7925293
"09/440,260",7251820
"09/738,131",6660423
"10/679,078",7197291
"11/411,570",7570963
"09/563,767",6285682
"11/193,207","7,693,110"
"12/471,062","8,304,733"
"13/721,561","9,099,785"
"12/390,082",8054771
"12/115,782",8213904
"10/093,768",6934568
"09/496,202",6640012
"10/304,650",6980816
"09/315,314",6542466
"14/017,495","9,165,256"
"10/427,784",7388579
"12/705,693",8284554
"13/218,661",8780937
"09/224,407",6151231
"11/078,937",7706443
"10/301,290","6,980,596"
"11/762,385",7818271
"11/458,454",7702289
"10/007,886",6950796
"14/144,547","9,059,505"
"09/856,234",6980597
"11/697,061",7694185
"08/734,681",5982445
"12/663,974",8238976
"12/605,759","8,504,039"
"09/144,414",6757548
"11/455,373","7,603,092"
"09/769,122","7,551,931"
"09/721,825",6636751
"09/010,014",6084866
"09/626,466",6606359
"11/971,250",7944866
"11/618,777",7801246
"10/125,699","6,996,779"
"09/591,648",6665549
"12/533,215",8553645
"11/673,189",7979767
"08/995,625",6069886
"11/851,086",7974536
"08/800,877",5949795
"09/015,406",6166621
"08/892,295",5913194
"11/028,873","7,529,379"
"29/431,110",D703649
"10/650,870",7129928
"09/962,747",6681208
"09/636,126",6731096
"09/419,929",6603389
"11/016,181",7342939
"08/594,218",5797101
"11/119,248","7,587,216"
"08/957,511",5974184
"08/965,301",6078793
"10/449,345",6922564
"12/427,197","9,164,584"
"12/199,957","7,983,717"
"12/345,165",8175888
"11/848,883","8,295,766"
"08/962,580",5983082
"08/748,641",5744984
"11/330,475",7616595
"11/025,718",7580540
"13/597,738","8,724,754"
"11/557,367",8595360
"11/688,486","8,553,594"
"09/575,272",6701160
"09/182,576",6563868
"11/855,637","7,853,857"
"10/621,199",6869708
"09/534,384",6308079
"13/646,815","9,071,609"
"11/422,890",7646315
"09/583,380",6259744
"14/142,260","9,225,815"
"10/131,429",7471734
"08/874,709",5894500
"12/111,665",8158224
"08/578,399",5689806
"10/376,999",6952574
"11/137,182",8280730
"11/301,415","7,852,838"
"11/275,671",7570623
"10/083,419",6990320
"09/360,571",6317755
"09/812,874",6975606
"09/965,400",6985857
"08/898,640",5784001
"09/048,634",6099990
"09/933,365",6956893
"08/717,594",5982819
"12/407,221","8,812,358"
"10/983,860",7729298
"10/404,976","7,743,119"
"11/946,197","8,918,097"
"09/175,687",6452930
"12/413,942",8605961
"11/926,734",7652578
"09/667,734",6724825
"08/754,453",5952942
"08/852,766",5880646
"11/485,889",7602752
"09/016,168",6091962
"10/092,347","7,243,366"
"09/603,426","6,308,294"
"08/680,448",5943624
"09/542,558",6300864
"09/644,618",6470317
"09/013,439",6157630
"10/262,142",7343313
"10/034,890",7380022
"10/649,756",7769378
"10/402,433","6,904,023"
"09/448,906",6385179
"10/264,185",6670897
"12/809,793","9,058,468"
"10/272,089",6903743
"10/666,708","7,044,614"
"10/668,029",7305191
"09/587,961","7,084,877"
"13/351,906","8,737,480"
"10/360,582","6,961,696"
"12/337,846",8242741
"09/489,641",6512922
"11/771,452",8019394
"10/741,266","7,133,373"
"10/641,216",6984816
"11/351,306","7,983,143"
"12/870,148",8428022
"09/631,328",6810525
"10/842,674",7353036
"12/647,467",8280409
"12/477,104","8,925,096"
"09/788,197",6348897
"10/945,695",7271569
"10/626,058","6,928,726"
"12/772,369",8265588
"11/241,841",7519359
"10/100,640",6801159
"10/748,881",7212111
"09/898,728",8151306
"11/026,574",7168023
"13/212,447","9,160,662"
"10/647,723","7,295,199"
"09/065,313",6088569
"12/246,558",8112781
"12/847,580",8532563
"11/142,821",7784071
"08/710,888",5859567
"12/137,839",8175530
"10/975,177","7,443,914"
"10/027,041",6788941
"12/179,035",8374282
"12/581,447","8,510,785"
"10/101,634",7012970
"11/697,071",7920795
"10/107,617",7477901
"13/170,261","9,184,917"
"13/307,150","8,751,056"
"11/746,370",8346930
"11/747,584","8,316,302"
"12/389,508",8611740
"11/278,702",7688793
"10/400,979","7,596,565"
"11/581,628",7746836
"13/572,057","9,053,657"
"09/774,383",7006842
"10/600,727",7295519
"08/890,819",6025753
"10/197,783",6882971
"10/032,602",6912195
"10/085,990",6807529
"13/300,713","8,862,533"
"11/765,764",7933571
"08/726,018",5784419
"08/929,608",5940799
"12/250,623",8050238
"12/021,404",7763314
"12/540,393",8090342
"14/070,760","9,086,855"
"12/435,559",8750140
"10/820,595",7502368
"09/930,049",6757544
"13/474,204","9,135,028"
"09/822,598",6961391
"09/630,885",6567777
"11/874,210",7551372
"09/079,098",6064894
"12/367,500","9,048,932"
"10/109,151",7027980
"09/484,100",6671415
"10/376,081",6873093
"10/980,111","7,302,468"
"09/821,975",6735435
"08/614,560","5,818,906"
"10/238,559","7,174,191"
"11/956,033",8223235
"13/497,300","8,897,223"
"13/545,277","9,053,699"
"10/288,630",7242917
"09/571,577",7006616
"11/238,894",7132357
"12/958,544",8619542
"11/680,067","8,204,036"
"09/664,179",6836806
"09/597,609",6615036
"10/749,711",8050688
"09/013,877",6072843
"12/347,620","9,003,447"
"10/124,407","6,839,070"
"12/297,519","8,054,774"
"09/342,541",6169732
"12/405,952","8,537,724"
"11/097,506","7,633,893"
"09/313,688",6668046
"12/982,450","9,106,972"
"08/624,233",5671255
"10/749,321","8,443,115"
"12/822,771","9,136,964"
"09/802,421",7310809
"11/157,766",7486939
"11/949,136",7904128
"11/370,138","8,050,660"
"10/158,451",6829502
"12/854,925","9,246,889"
"10/805,878",7315885
"12/209,833","9,124,690"
"12/129,775","8,073,243"
"09/775,951","6,633,839"
"12/261,083","7,773,513"
"08/617,006",5809020
"10/737,473","7,116,951"
"08/865,924",5886993
"11/851,799",7907900
"09/676,344",6456204
"09/443,855","6,434,159"
"12/607,418","7,978,101"
"13/439,624",8340976
"10/206,706",8340215
"08/594,926",5670912
"08/868,329",5904740
"08/710,912",5854549
"09/666,901",7418007
"11/464,179","9,065,651"
"08/656,823",5956626
"10/888,834",7586868
"09/097,577",6104916
"10/903,541","7,088,256"
"11/747,988",7965689
"11/957,605",8175651
"10/912,598",7196260
"09/599,929",6748232
"08/811,997",5856763
"10/738,833",7043552
"08/684,957",5825297
"11/862,242",7817574
"10/833,410","7,047,006"
"08/597,630",5742610
"10/309,985",7027527
"08/678,432",5799256
"11/302,358","8,993,187"
"09/175,037",6160454
"09/343,318",6144646
"13/964,034","9,158,372"
"09/703,775",6934275
"10/603,715",6967576
"08/672,710",5757229
"08/921,638",6041227
"10/457,691",7191662
"10/310,329","6,931,251"
"08/795,528",5905961
"11/864,072",7804770
"11/946,540",7818142
"11/953,308",8059897
"09/425,923","6,327,300"
"10/977,455",7091781
"10/339,067","7,003,464"
"11/470,291",7532587
"13/660,012","8,718,698"
"14/168,084",9110663
"08/253,998",6356961
"11/995,157",8010108
"09/642,166",6285548
"11/267,676",7773943
"10/825,104",7305257
"10/634,248",6885322
"10/945,234",7928914
"08/573,227",5612956
"12/508,286","8,937,912"
"11/477,878",7636043
"11/938,452",8009757
"12/115,562","7,822,074"
"09/657,915","6,865,164"
"10/783,922","7,068,013"
"09/716,154",6980561
"12/786,862",8374321
"08/760,766",5896054
"13/965,663","9,002,377"
"10/245,062",6700441
"08/732,957",6275611
"08/864,518",6138032
"12/608,729","8,863,167"
"12/489,782","7,962,181"
"11/539,942",7554987
"09/300,419",6311306
"11/838,227",8022615
"14/098,929","8,995,939"
"09/754,485",6359392
"10/418,342","6,944,422"
"10/439,481",7028373
"12/974,952","8,751,822"
"11/672,275","7,848,438"
"13/891,806","9,215,302"
"10/424,384",7072688
"11/755,550",7642528
"10/008,634",6606557
"10/167,305",7159148
"11/737,813",7911513
"09/042,829",6453070
"08/613,697",5830601
"09/455,040",6255903
"11/611,359",8067922
"08/807,407",6085074
"09/886,642",7024216
"11/686,342",8472598
"11/690,971",7924175
"11/617,358",7822973
"08/876,055",6067444
"08/808,555",5910944
"08/767,744",6002922
"09/186,732",6141011
"11/111,415","8,904,282"
"08/697,513",5850594
"12/813,221","9,002,354"
"11/965,313",7529440
"13/150,696","8,508,494"
"11/948,636",8332196
"13/089,654",8254344
"12/574,365","9,037,847"
"09/170,744",6185525
"12/347,198",8204957
"11/962,505",8619039
"11/565,099",8683453
"10/890,006",7106874
"11/427,530","7,872,961"
"09/692,072",6704566
"11/752,567","8,170,094"
"10/818,293","7,328,036"
"10/872,636","7,558,575"
"12/173,087","7,696,935"
"10/083,859",6617824
"13/348,368","8,838,435"
"09/481,722",6573945
"11/621,587",8000305
"10/650,287",6940407
"09/346,802",6564068
"13/342,483","8,767,961"
"12/249,405",8339250
"08/786,160",5822307
"09/621,266",6320354
"10/452,753",8253624
"10/405,539",6973538
"13/344,958",8583193
"10/170,765",7111362
"12/465,676","8,290,156"
"10/206,503",6992580
"11/104,080",8219073
"09/379,673",6560215
"10/610,284",6885242
"12/391,296","9,179,180"
"11/830,394",8195233
"09/127,062",6256493
"09/877,587",6865176
"12/500,625","8,319,170"
"12/246,615",8040969
"10/329,746",7126929
"09/705,850",6678523
"10/661,760",7107018
"12/247,575",8520814
"13/429,266","8,949,592"
"11/183,683","7,339,976"
"12/335,885",8090732
"09/956,450",6668043
"09/667,892",7039048
"13/307,962","9,063,591"
"09/407,669",6411815
"09/993,857",6661809
"08/572,410",5793805
"09/849,162",6829014
"12/361,130",7800046
"11/609,648",8683353
"09/186,911",6212391
"10/463,783",7046988
"13/073,532","8,542,619"
"08/995,799","6,378,073"
"09/560,967",6853693
"11/282,331","7,983,679"
"13/598,836","8,805,335"
"09/804,857",6940861
"11/912,623","7,719,955"
"10/625,296",7450586
"09/016,030","6,131,013"
"10/729,651","6,980,912"
"11/351,275","7,911,935"
"08/722,468",5751378
"09/526,100",7313811
"29/411,510",D678232
"10/882,587",7049941
"12/982,981","8,412,857"
"09/898,136",7257227
"13/190,893","8,638,698"
"09/928,129",6636745
"11/095,190",7545751
"12/773,338",8295874
"11/689,495","8,300,658"
"10/626,333",6917182
"11/150,953",7643832
"10/818,658",7590996
"13/168,572","8,737,330"
"13/958,772","9,133,254"
"09/604,172",6463142
"10/083,876","7,743,115"
"10/108,881","7,289,567"
"11/559,470","8,965,885"
"13/330,137","9,094,684"
"11/143,428","8,010,985"
"12/878,778","8,589,516"
"10/212,617",7720601
"10/144,406","7,257,430"
"08/144,931",5854571
"09/784,722",7600039
"09/255,181",6298224
"09/032,885",6094429
"08/963,800",5933062
"11/109,915",7305649
"09/438,204","6,313,787"
"08/616,359",5706306
"10/375,839","7,072,187"
"12/960,610","9,066,126"
"09/852,837",6980827
"08/998,376",6003057
"09/546,669",6286112
"08/939,117",6106563
"11/617,003",7900045
"11/232,586","8,788,675"
"08/824,497",6011800
"10/230,321",6810245
"10/360,296","7,190,947"
"12/347,132",8422439
"10/061,048","6,678,656"
"13/735,187","8,948,707"
"08/897,847",6005980
"08/904,398",6240100
"12/205,580",8249193
"13/533,190",8904290
"09/630,326","6,577,849"
"11/838,456","8,098,680"
"09/252,172",6285899
"13/536,416",9094689
"12/435,806",8223692
"11/350,739",8108796
"08/579,957",5787455
"09/816,512",6605454
"09/104,634",6282183
"11/235,806","7,360,957"
"09/787,380",6996377
"12/347,146","8,275,412"
"13/621,855","9,106,310"
"11/623,783",8116738
"09/961,516",7139237
"12/510,443","8,326,995"
"09/205,557",6084546
"08/676,106","6,223,030"
"09/122,708",6215474
"10/845,558",7474626
"08/807,075",6144649
"09/632,709",6278354
"11/428,027","7,724,194"
"09/510,799",6577877
"09/389,903",6157253
"10/098,123",6650995
"10/319,746",6834265
"10/872,688","7,765,566"
"10/714,236",7920623
"08/829,573",5959981
"08/956,676",5945286
"11/023,712",8019012
"11/954,210",7912441
"10/281,842","6,862,277"
"09/489,325",6281851
"11/864,010",7877123
"08/680,737",5911137
"09/549,366",6224393
"09/544,228",7446434
"10/318,486","7,450,722"
"08/841,955",6026126
"09/331,909",6477381
"09/666,902",7039115
"13/088,237","8,509,338"
"09/504,135",7509148
"13/556,081","9,140,782"
"13/742,665","9,198,317"
"10/431,560","7,414,989"
"09/060,686","6,101,531"
"11/266,469",7450944
"13/153,705","8,611,833"
"13/401,933","8,971,826"
"12/975,651",8462517
"12/369,148","9,198,151"
"08/562,611",5703877
"11/466,720","8,400,998"
"09/091,028",6212385
"10/660,393",6925064
"10/630,710",7013166
"11/692,400","8,102,802"
"09/305,237",6650620
"12/868,082","8,630,412"
"12/557,054","8,521,187"
"09/708,325",6542483
"11/004,262",7773535
"12/489,798",8320267
"13/276,339",8509738
"08/752,985",6078577
"09/086,227",6104927
"09/103,226","6,018,299"
"11/610,661","8,954,070"
"11/235,302",7209755
"08/615,371",6202088
"09/745,308",6417874
"09/610,244",6269137
"10/451,817","7,181,224"
"10/873,870","8,633,864"
"11/257,230","8,275,003"
"08/895,390",5925942
"13/398,099","9,186,077"
"10/610,107",7313188
"09/001,306",6061573
"09/803,258",6922432
"10/458,701","7,929,921"
"09/929,553","7,110,455"
"13/875,620","9,210,733"
"11/863,763","9,031,843"
"11/301,302",8000304
"10/533,280",7245935
"09/347,082","6,628,711"
"10/667,794",6927627
"09/579,984",6385462
"09/088,015",6167028
"09/053,224",5990735
"10/737,065",7167710
"13/562,806","8,730,342"
"12/984,245",8677503
"09/114,508",6408176
"10/692,621","6,973,332"
"10/609,939","7,200,190"
"08/893,332",6157632
"11/590,724","8,068,465"
"13/623,559","9,131,251"
"14/082,733","9,201,454"
"11/967,519","8,055,211"
"10/184,295",7013154
"11/028,870","7,489,913"
"09/490,607",6590946
"08/734,629",5917830
"11/210,030","7,965,675"
"12/952,305","8,074,150"
"14/029,014","9,223,937"
"10/697,512",7453829
"09/360,585",6295606
"11/866,936","8,893,284"
"11/227,367","7,333,062"
"11/332,575","7,671,628"
"08/805,818",5894498
"11/433,278",7809282
"10/640,856",6927432
"11/467,917",8588862
"09/110,282",5934450
