Application #,Patent #
"09/078,907",6065187
"12/366,527","8,767,632"
"11/027,098","7,477,690"
"12/163,323",8078553
"08/668,671",5905956
"10/775,907",7418011
"12/671,427","9,002,368"
"11/415,340",8478231
"10/716,262",7116940
"10/124,466",6643503
"12/208,483",8351536
"12/739,759","8,374,328"
"10/623,890",7193620
"08/994,734",6097973
"11/934,172","8,295,248"
"09/762,836",6760589
"11/936,198","8,107,878"
"09/012,274",5923266
"14/136,118","9,192,084"
"10/614,839",7330733
"13/307,967","8,963,885"
"08/123,597",5901357
"09/608,894",6298082
"11/323,190",7729715
"09/593,378",6252434
"09/364,226",6252456
"12/472,458",8559458
"09/106,339",6080501
"08/794,560",6041045
"08/982,178",6206293
"09/766,230",6940820
"08/711,701",5928330
"09/370,057",6236960
"09/016,012",6134527
"08/724,568",6420960
"08/816,649",6014552
"10/631,123",7085256
"11/294,032",7567664
"11/461,498",7623774
"13/274,436","8,886,811"
"11/317,544",7508348
"09/801,891",7046719
"08/886,102",6016107
"11/235,838",7515910
"09/669,192","6,810,323"
"10/331,692",6904550
"09/999,839",6509659
"12/109,089","8,812,057"
"09/127,925",6157906
"10/068,643",7154939
"09/497,983",6453045
"12/468,189",8159402
"11/229,929",7202878
"09/690,993",7672381
"09/650,118",6907237
"09/929,750",6649852
"08/675,318",5857155
"10/279,567","7,751,826"
"08/770,306",5878352
"10/331,408","6,927,763"
"08/577,079",5623225
"10/765,349",7698726
"10/550,109",7516486
"11/610,806",7634565
"11/077,311","7,369,524"
"09/042,483",6133850
"10/670,024","6,935,901"
"11/623,373","8,611,300"
"14/306,501","9,155,085"
"11/539,873","8,126,475"
"09/124,200",6393079
"10/654,290","7,145,558"
"09/667,999",6836663
"11/769,428","9,210,680"
"08/213,839",6216086
"11/928,044","7,946,775"
"10/272,175",7453860
"11/670,194","8,933,972"
"08/762,865",6018764
"09/163,732",6298054
"11/491,978",7263340
"08/587,073",5745695
"10/614,838",6980818
"10/271,280",7043208
"10/238,351",7027838
"12/789,985","9,241,064"
"10/201,185","8,949,716"
"08/693,780",5693434
"11/967,738",8365096
"09/086,280",6161015
"10/806,990","7,230,930"
"10/651,868",7289528
"09/083,930",6040781
"10/809,728",7108931
"11/270,231","8,893,302"
"10/439,257",6828759
"09/887,945",6653816
"09/510,318",6763225
"10/395,782","7,016,319"
"09/253,786",6317411
"14/699,644","9,153,166"
"10/289,093",6670403
"09/898,172",7080397
"13/692,370","9,047,327"
"10/355,909",7062261
"09/200,397",6091759
"13/735,595","9,241,339"
"11/928,483","9,030,989"
"08/418,735",5875387
"10/605,111",6900544
"12/967,208","8,543,168"
"08/944,979",6138030
"11/222,479",7460842
"12/396,654",8174986
"10/160,589","6,710,518"
"08/708,438",6201526
"10/622,815","7,096,026"
"09/193,661",6173883
"09/665,096",6374177
"09/079,067","6,321,070"
"12/678,349",8095170
"08/992,419",5923214
"11/467,987",7684755
"10/109,928","7,243,163"
"11/272,282",7583973
"10/626,242",6972382
"10/984,274",7009135
"09/576,367","6,430,214"
"09/213,566",6334063
"12/246,941",8102367
"08/883,972",6114968
"09/032,159",6112244
"11/379,273",7502981
"13/298,338","9,225,762"
"09/928,609","6,915,312"
"10/554,154","7,493,117"
"13/343,767","9,053,581"
"10/350,538",7656794
"11/427,025",7668549
"09/227,793",6487721
"12/723,392","8,542,656"
"12/773,461","9,110,534"
"08/966,277",6043838
"08/773,588",6049543
"08/980,954",6182038
"08/883,977",5884268
"09/408,643",6529748
"09/502,066",6529728
"12/142,811",8224390
"09/413,600",6192253
"10/299,352",6766182
"11/014,617","7,573,964"
"12/621,996","8,108,344"
"10/175,974",7688764
"10/384,324","6,925,095"
"08/996,438","6,038,549"
"13/494,194",8503999
"11/954,284",8090378
"08/399,689",6012634
"13/705,551","8,995,966"
"12/887,571","8,438,590"
"11/026,406",7746928
"11/932,262",7606152
"11/537,289","8,369,489"
"11/059,596",7413110
"10/832,008","6,976,861"
"11/011,579",7539466
"08/574,542",5710998
"13/731,134","9,170,714"
"09/143,714",6108314
"12/408,092",7657272
"08/802,831",6078794
"08/811,064",6002948
"10/334,030","7,076,428"
